644 -1.9978197  0.99944992 139
645 -1.997806  0.99944651 140
646 -1.9978094  0.99944737 140
647 -1.9978128  0.99944822 140
648 -1.9978162  0.99944907 140
649 -1.9978196  0.99944992 140
650 -1.9978229  0.99945077 140
651 -1.9978263  0.99945161 140
652 -1.9978275  0.99945192 141
653 -1.9977831  0.99944083 143
654 -1.9976906  0.99941772 145
655 -1.9976025  0.99939571 145
656 -1.9975767  0.99938925 148
657 -1.9975804  0.99939018 148
658 -1.997584  0.99939111 148
659 -1.9975877  0.99939203 148
660 -1.9975886  0.99939225 149
661 -1.997562  0.99938561 149
662 -1.9975571  0.9993844 150
663 -1.9975608  0.99938533 150
664 -1.9975645  0.99938626 150
665 -1.9975681  0.99938718 150
666 -1.9975718  0.9993881 150
667 -1.9975754  0.99938902 150
668 -1.997579  0.99938993 150
669 -1.9975827  0.99939084 150
670 -1.9975863  0.99939175 150
671 -1.9975899  0.99939266 150
672 -1.9975935  0.99939356 150
673 -1.997597  0.99939447 150
674 -1.9975962  0.99939427 151
675 -1.9975927  0.99939341 152
676 -1.9975963  0.9993943 152
677 -1.9975999  0.9993952 152
678 -1.9976034  0.99939609 152
679 -1.9976069  0.99939698 152
680 -1.9976104  0.99939787 152
681 -1.997614  0.99939875 152
682 -1.9976174  0.99939963 152
683 -1.9976209  0.99940051 152
684 -1.9976244  0.99940139 152
685 -1.9976279  0.99940226 152
686 -1.9976313  0.99940313 152
687 -1.9976348  0.999404 152
688 -1.9976382  0.99940487 152
689 -1.9976417  0.99940573 152
690 -1.9976451  0.99940659 152
691 -1.9976485  0.99940745 152
692 -1.9976519  0.99940831 152
693 -1.9976461  0.99940687 153
694 -1.9976342  0.99940391 154
695 -1.9976376  0.99940477 154
696 -1.997641  0.99940562 154
697 -1.9976444  0.99940647 154
698 -1.9976478  0.99940732 154
699 -1.9976366  0.99940452 155
700 -1.9976388  0.99940509 156
701 -1.9976422  0.99940594 156
702 -1.9976455  0.99940678 156
703 -1.9976489  0.99940763 156
704 -1.9976522  0.99940847 156
705 -1.9976309  0.99940316 158
706 -1.9976343  0.999404 158
707 -1.9976376  0.99940484 158
708 -1.9976405  0.99940558 160
709 -1.9976308  0.99940316 161
710 -1.9975918  0.99939342 163
